<U86BF> \xC2\xBD |1 # 蚿->陆
<U86F6> \xBD\xE9 |1 # 蛶->介
<U7C36> \xC2\xBB |1 # 簶->禄
<U80B6> \xB1\xC8 |1 # 肶->比
<U5AC7> \xDA\xA4 |1 # 嫇->冥
<U6DF0> \xC4\xEE |1 # 淰->念
<U89FC> \xBE\xF7 |1 # 觼->诀
<U9BBB> \xCB\xF3 |1 # 鮻->梭
<U9C80> \xEB\xE0 |1 # 鲀->豚
<U9C7D> \xF6\xDD |1 # 鱽->鲚
<U9B7D> \xF2\xC0 |1 # 魽->蚶
<U98B4> \xD0\xFD |1 # 颴->旋
<U820F> \xBE\xC3 |1 # 舏->久
<U7BA3> \xB2\xDF |1 # 箣->策
<U9BF6> \xF6\xE9 |1 # 鯶->鲩
<U9BEE> \xD7\xDA |1 # 鯮->宗
<U9C38> \xC7\xF8 |1 # 鰸->区
<U9CD1> \xC5\xD4 |1 # 鳑->旁
<U9C17> \xBA\xFE |1 # 鰗->湖
<U7171> \xB9\xD0 |1 # 煱->剐
<U92BE> \xB9\xAF |1 # 銾->汞
<U9CB9> \xB2\xCE |1 # 鲹->参
<U9BB8> \xF7\xAA |1 # 鮸->鳘
<U9C0E> \xBD\xA1 |1 # 鰎->健
<U89B0> \xEA\xEF |1 # 覰->觑
<U7A2D> \xBD\xD5 |1 # 稭->秸
<U5574> \xEC\xFE |1 # 啴->忐
<U97A7> \xC7\xF5 |1 # 鞧->酋
<U9129> \xD1\xB0 |1 # 鄩->寻
<U80B9> \xD9\xE2 |1 # 肹->兮
<U569A> \xD2\xFA |1 # 嚚->寅
<U90B2> \xB1\xD8 |1 # 邲->必
<U742D> \xC2\xBC |1 # 琭->录
<U72E4> \xBD\xE0 |1 # 狤->洁
<U6A96> \xE5\xE4 |1 # 檖->邃
<U526C> \xD6\xC6 |1 # 剬->制
<U5A2D> \xB0\xA3 |1 # 娭->埃
<U7FEC> \xBB\xD3 |1 # 翬->挥
<U7FDA> \xBB\xD3 |1 # 翚->挥
<U56CF> \xBC\xE8 |1 # 囏->艰
<U6B5C> \xB4\xA6 |1 # 歜->处
<U6C4B> \xD7\xC3 |1 # 汋->酌
<U8294> \xBB\xDC |1 # 芔->卉
<U5AAD> \xD0\xEB |1 # 媭->须
<U9548> \xB8\xBF |1 # 镈->缚
<U8232> \xC1\xEB |1 # 舲->岭
<U7EF9> \xCC\xD5 |1 # 绹->陶
<U8F80> \xD6\xDB |1 # 辀->舟
<U8F08> \xD6\xDB |1 # 輈->舟
<U8E06> \xB4\xE5 |1 # 踆->村
<U61BA> \xB5\xA5 |1 # 憺->单
<U7FFE> \xD9\xD8 |1 # 翾->儇
<U68D4> \xBB\xE8 |1 # 棔->昏
<U8295> \xCB\xE4 |1 # 芕->虽
<U8479> \xCA\xA9 |1 # 葹->施
<U5A00> \xE4\xC1 |1 # 娀->淞
<U6F5A> \xCB\xE0 |1 # 潚->肃
<U6FAD> \xD3\xBA |1 # 澭->雍
<U8561> \xB7\xD2 |1 # 蕡->芬
<U6E5C> \xCA\xAF |1 # 湜->石
<U9C53> \xF7\xAD |1 # 鱓->鳝
<U7462> \xC8\xDD |1 # 瑢->容
<U778F> \xBB\xB9 |1 # 瞏->还
<U7468> \xBD\xFA |1 # 瑨->晋
<U9828> \xD3\xF0 |1 # 頨->羽
<U5845> \xB6\xCE |1 # 塅->段
<U9917> \xCA\xF8 |1 # 餗->束
<U979E> \xB1\xFA |1 # 鞞->柄
<U4FCC> \xB8\xA8 |1 # 俌->辅
<U81E2> \xD4\xD3 |1 # 臢->杂
<U9F41> \xBA\xED |1 # 齁->喉
<U982B> \xB8\xA9 |1 # 頫->俯
<U9331> \xD5\xE4 |1 # 錱->珍
<U782B> \xD6\xF9 |1 # 砫->柱
<U77DE> \xDA\xDC |1 # 矞->谲
<U6FA5> \xBD\xE2 |1 # 澥->解
<U5868> \xB9\xA7 |1 # 塨->恭
<U799B> \xD5\xE6 |1 # 禛->真
<U9705> \xD4\xFD |1 # 霅->札
<U959F> \xB1\xD8 |1 # 閟->必
<U79A9> \xEC\xEB |1 # 禩->祀
<U790C> \xC0\xDE |1 # 礌->擂
<U7A8B> \xBF\xDF |1 # 窋->窟
<U68EB> \xD3\xF2 |1 # 棫->域
<U5B03> \xD0\xEB |1 # 嬃->须
<U7257> \xDC\xAD |1 # 牗->墉
<U7117> \xBE\xD6 |1 # 焗->局
<U9142> \xD4\xDE |1 # 酂->赞
<U9147> \xD4\xDE |1 # 酇->赞
<U88E0> \xC8\xB9 |1 # 裠->裙
<U9EF6> \xD1\xE1 |1 # 黶->厌
<U5DA2> \xC8\xC4 |1 # 嶢->饶
<U5CE3> \xC8\xC4 |1 # 峣->饶
<U5372> \xDB\xBF |1 # 卲->劭
<U8B50> \xD7\xF0 |1 # 譐->尊
<U5642> \xD7\xF0 |1 # 噂->尊
<U5621> \xCC\xC3 |1 # 嘡->堂
<U679F> \xD4\xC6 |1 # 枟->云
<U74B5> \xD3\xEB |1 # 璵->与
<U92D7> \xBE\xEE |1 # 鋗->绢
<U688B> \xBE\xEE |1 # 梋->绢
<U7F3B> \xF3\xBE |1 # 缻->缶
<U8144> \xB4\xB9 |1 # 腄->垂
<U6CD2> \xB9\xC2 |1 # 泒->孤
<U97AE> \xB5\xCC |1 # 鞮->堤
<U72A8> \xB3\xF1 |1 # 犨->绸
<U9BC8> \xF6\xE6 |1 # 鯈->鲦
<U7289> \xB4\xBE |1 # 犉->淳
<U623A> \xCA\xCE |1 # 戺->饰
<U9A4E> \xF7\xEB |1 # 驎->麟
<U9B05> \xC5\xEE |1 # 鬅->蓬
<U9B19> \xD4\xF8 |1 # 鬙->曾
<U70D3> \xCE\xA4 |1 # 烓->韦
<U65F5> \xB5\xA5 |1 # 旵->单
<U8442> \xC3\xE3 |1 # 葂->勉
<U6D75> \xCD\xAE |1 # 浵->彤
<U7B7F> \xF3\xE3 |1 # 筿->筱
<U7BE0> \xF3\xE3 |1 # 篠->筱
<U9496> \xCE\xFD |1 # 钖->锡
<U935A> \xCE\xFD |1 # 鍚->锡
<U7994> \xCA\xCF |1 # 禔->氏
<U7B3F> \xC2\xE7 |1 # 笿->络
<U9241> \xD5\xE4 |1 # 鉁->珍
<U9AE9> \xF7\xDE |1 # 髩->鬓
<U8278> \xB2\xDD |1 # 艸->草
<U8382> \xB1\xF0 |1 # 莂->别
<U5D5A> \xC7\xD5 |1 # 嵚->钦
<U5D94> \xC7\xD5 |1 # 嶔->钦
<U94E6> \xCF\xB3 |1 # 铦->铣
<U929B> \xCF\xB3 |1 # 銛->铣
<U6C9C> \xC5\xCF |1 # 沜->畔
<U7B96> \xC1\xD6 |1 # 箖->林
<U7B8A> \xEC\xB6 |1 # 箊->於
<U6F93> \xB7\xFC |1 # 澓->伏
<U7D03> \xD1\xAD |1 # 紃->循
<U5013> \xCC\xB8 |1 # 倓->谈
<U88FA> \xD1\xDA |1 # 裺->掩
<U9939> \xCC\xC7 |1 # 餹->糖
<U7052> \xD4\xDE |1 # 灒->赞
<U6FFD> \xD4\xDE |1 # 濽->赞
<U7B64> \xC1\xBC |1 # 筤->良
<U7B09> \xC7\xDB |1 # 笉->芹
<U5961> \xB0\xC1 |1 # 奡->傲
<U5D92> \xD4\xF8 |1 # 嶒->曾
<U7EBB> \xDC\xD1 |1 # 纻->苎
<U7D35> \xDC\xD1 |1 # 紵->苎
<U82E7> \xDC\xD1 |1 # 苧->苎
<U5E70> \xE6\xB5 |1 # 幰->娴
<U7B66> \xB9\xDC |1 # 筦->管
<U5D8D> \xCE\xF5 |1 # 嶍->熙
<U5CDC> \xB7\xA8 |1 # 峜->法
<U9AFF> \xC9\xB3 |1 # 髿->沙
<U9B16> \xC9\xA2 |1 # 鬖->散
<U5A21> \xD6\xBE |1 # 娡->志
<U74A5> \xBE\xB4 |1 # 璥->敬
<U7521> \xC9\xFC |1 # 甡->牲
<U67BB> \xF4\xAF |1 # 枻->舣
<U6827> \xF4\xAF |1 # 栧->舣
<U7695> \xB0\xD9 |1 # 皕->百
<U9C8A> \xD5\xA7 |1 # 鲊->乍
<U9B93> \xD5\xA7 |1 # 鮓->乍
<U9902> \xCC\xF2 |1 # 餂->舔
<U7E7B> \xD0\xE8 |1 # 繻->需
<U7438> \xD7\xBF |1 # 琸->卓
<U7D1D> \xC8\xCE |1 # 紝->任
<U7EB4> \xC8\xCE |1 # 纴->任
<U7D4D> \xC8\xCE |1 # 絍->任
<U9F1A> \xDD\xC5 |1 # 鼚->菖
<U6C67> \xC7\xA7 |1 # 汧->千
<U6114> \xD2\xF4 |1 # 愔->音
<U7C59> \xC2\xBC |1 # 籙->录
<U66CC> \xD5\xD5 |1 # 曌->照
<U5F06> \xDC\xEC |1 # 弆->莒
<U6937> \xBC\xEA |1 # 椷->缄
<U756F> \xBF\xA1 |1 # 畯->俊
<U7CAF> \xCF\xD6 |1 # 粯->现
<U5298> \xC4\xA5 |1 # 劘->磨
<U7BEF> \xBC\xE3 |1 # 篯->笺
<U68E8> \xC6\xF4 |1 # 棨->启
<U9267> \xC4\xB8 |1 # 鉧->母
<U9799> \xD0\xFB |1 # 鞙->宣
<U7404> \xD0\xFB |1 # 琄->宣
<U74B2> \xCB\xED |1 # 璲->隧
<U6344> \xBE\xC8 |1 # 捄->救
<U7706> \xB7\xC2 |1 # 眆->仿
<U5ED9> \xD2\xEC |1 # 廙->异
<U6CDA> \xB4\xC3 |1 # 泚->疵
<U73BC> \xB4\xC3 |1 # 玼->疵
<U96F1> \xE4\xE8 |1 # 雱->滂
<U77C5> \xEA\xD7 |1 # 矅->曜
<U7307> \xD0\xA5 |1 # 猇->啸
<U8653> \xD0\xA5 |1 # 虓->啸
<U7DAA> \xD9\xBB |1 # 綪->倩
<U8F36> \xD3\xC8 |1 # 輶->尤
<U5A73> \xBB\xAD |1 # 婳->画
<U5AFF> \xBB\xAD |1 # 嫿->画
<U5A9F> \xD9\xF4 |1 # 媟->亵
<U95FF> \xBF\xAD |1 # 闿->凯
<U95D3> \xBF\xAD |1 # 闓->凯
<U4EB8> \xB6\xE4 |1 # 亸->朵
<U56B2> \xB6\xE4 |1 # 嚲->朵
<U98D4> \xCB\xBC |1 # 飔->思
<U98B8> \xCB\xBC |1 # 颸->思
<U88FF> \xD2\xD0 |1 # 裿->倚
<U88AF> \xB2\xA3 |1 # 袯->玻
<U894F> \xB2\xA3 |1 # 襏->玻
<U896B> \xCA\xCE |1 # 襫->饰
<U5393> \xD1\xC2 |1 # 厓->崖
<U5D15> \xD1\xC2 |1 # 崕->崖
<U5517> \xB6\xBC |1 # 唗->都
<U7E9B> \xB5\xC0 |1 # 纛->道
<U6D83> \xC0\xA7 |1 # 涃->困
<U777A> \xBA\xED |1 # 睺->喉
<U8D6A> \xB3\xCE |1 # 赪->澄
<U8D6C> \xB3\xCE |1 # 赬->澄
<U71CB> \xE3\xBE |1 # 燋->憔
<U56F7> \xC8\xBA |1 # 囷->群
<U60B0> \xE7\xFD |1 # 悰->琮
<U9120> \xEC\xE8 |1 # 鄠->扈
<U5D04> \xCF\xD5 |1 # 崄->险
<U5DAE> \xCF\xD5 |1 # 嶮->险
<U96AA> \xCF\xD5 |1 # 險->险
<U6F4F> \xD3\xE5 |1 # 潏->渝
<U8ABE> \xD8\xB7 |1 # 誾->胤
<U7F6B> \xD8\xD4 |1 # 罫->卦
<U85A0> \xB7\xB3 |1 # 薠->烦
<U9E6E> \xBB\xB7 |1 # 鹮->环
<U873C> \xCE\xAC |1 # 蜼->维
<U6180> \xC1\xCE |1 # 憀->廖
<U65C2> \xC6\xEC |1 # 旂->旗
<U6690> \xEC\xBF |1 # 暐->炜
<U911C> \xB8\xBB |1 # 鄜->富
<U9D77> \xD4\xA7 |1 # 鵷->鸳
<U87FA> \xF7\xAD |1 # 蟺->鳝
<U8E20> \xCD\xF0 |1 # 踠->宛
<U712E> \xD0\xC0 |1 # 焮->欣
<U77FB> \xBF\xE2 |1 # 矻->库
<U6D61> \xB2\xAA |1 # 浡->勃
<U5647> \xB4\xB1 |1 # 噇->幢
<U63BF> \xDE\xF9 |1 # 掿->搦
<U9574> \xC0\xAF |1 # 镴->蜡
<U945E> \xC0\xAF |1 # 鑞->蜡
<U70AA> \xD7\xBE |1 # 炪->拙
<U5AFD> \xC1\xC5 |1 # 嫽->僚
<U97B9> \xC0\xAA |1 # 鞹->廓
<U979F> \xC0\xAA |1 # 鞟->廓
<U5F5F> \xBB\xF2 |1 # 彟->或
<U5F60> \xBB\xF2 |1 # 彠->或
<U84A6> \xBB\xF2 |1 # 蒦->或
<U9E6F> \xD5\xB2 |1 # 鹯->詹
<U9E07> \xD5\xB2 |1 # 鸇->詹
<U79FE> \xC5\xA8 |1 # 秾->浓
<U7A60> \xC5\xA8 |1 # 穠->浓
<U67C2> \xB6\xE6 |1 # 柂->舵
<U5ABA> \xC3\xC0 |1 # 媺->美
<U8886> \xBB\xD4 |1 # 袆->辉
<U8918> \xBB\xD4 |1 # 褘->辉
<U5BD4> \xCA\xB5 |1 # 寔->实
<U7D8E> \xCD\xA2 |1 # 綎->廷
<U73EB> \xB3\xE4 |1 # 珫->充
<U4FDB> \xB8\xA9 |1 # 俛->俯
<U73F9> \xB3\xC9 |1 # 珹->成
<U4FCB> \xD2\xD8 |1 # 俋->邑
<U921C> \xBA\xEA |1 # 鈜->宏
<U88C8> \xC0\xA5 |1 # 裈->昆
<U890C> \xC0\xA5 |1 # 褌->昆
<U88E9> \xC0\xA5 |1 # 裩->昆
<U5DD1> \xD4\xDC |1 # 巑->攒
<U5C8F> \xDD\xB8 |1 # 岏->莞
<U6C9A> \xD6\xB9 |1 # 沚->止
<U503F> \xD8\xFA |1 # 倿->佞
<U6BF7> \xC3\xB0 |1 # 毷->冒
<U60CE> \xBC\xC9 |1 # 惎->忌
<U8710> \xBD\xD9 |1 # 蜐->劫
<U6286> \xCE\xC4 |1 # 抆->文
<U9770> \xCE\xDA |1 # 靰->乌
<U97A1> \xC0\xAD |1 # 鞡->拉
<U6F3C> \xB4\xDF |1 # 漼->催
<U5649> \xE0\xA2 |1 # 噉->啖
<U5557> \xE0\xA2 |1 # 啗->啖
<U56AA> \xE0\xA2 |1 # 嚪->啖
<U9749> \xF6\xB0 |1 # 靉->霭
<U53C6> \xF6\xB0 |1 # 叆->霭
<U5027> \xD7\xDA |1 # 倧->宗
<U6880> \xCA\xF8 |1 # 梀->束
<U6433> \xB2\xC2 |1 # 搳->猜
<U91C2> \xBD\xC0 |1 # 釂->嚼
<U928A> \xD0\xE7 |1 # 銊->戌
<U7431> \xB5\xF1 |1 # 琱->雕
<U8B13> \xE0\xC1 |1 # 謓->嗔
<U739A> \xB3\xA1 |1 # 玚->场
<U7452> \xB3\xA1 |1 # 瑒->场
<U906C> \xCB\xD9 |1 # 遬->速
<U62E4> \xC6\xFE |1 # 拤->掐
<U7B2F> \xC5\xAB |1 # 笯->奴
<U9085> \xD5\xB2 |1 # 邅->詹
<U7734> \xD1\xA3 |1 # 眴->眩
<U7E95> \xCF\xE5 |1 # 纕->襄
<U770A> \xEB\xA3 |1 # 眊->耄
<U5235> \xB6\xFA |1 # 刵->耳
<U6913> \xD7\xC4 |1 # 椓->啄
<U848D> \xCE\xB0 |1 # 蒍->伟
<U853F> \xCE\xB0 |1 # 蔿->伟
<U7606> \xB2\xCE |1 # 瘆->参
<U762E> \xB2\xCE |1 # 瘮->参
<U873A> \xC4\xDE |1 # 蜺->霓
<U5CFF> \xCE\xE1 |1 # 峿->吾
<U791A> \xBF\xC4 |1 # 礚->磕
<U8B36> \xDA\xD8 |1 # 謶->谪
<U615C> \xED\xAA |1 # 慜->愍
<U9B3F> \xC6\xED |1 # 鬿->祈
<U9D02> \xBE\xF7 |1 # 鴂->诀
<U890B> \xB5\xFD |1 # 褋->谍
<U5255> \xB7\xC7 |1 # 剕->非
<U539E> \xB7\xC7 |1 # 厞->非
<U9DD8> \xEB\xB7 |1 # 鷘->敕
<U9D92> \xEB\xB7 |1 # 鶒->敕
<U697E> \xB9\xDC |1 # 楾->管
<U97BF> \xEE\xBF |1 # 鞿->羁
<U7D3E> \xD5\xE4 |1 # 紾->珍
<U63EB> \xBE\xBE |1 # 揫->揪
<U5103> \xEC\xF8 |1 # 儃->禅
<U7E06> \xD8\xA8 |1 # 縆->亘
<U7DEA> \xD8\xA8 |1 # 緪->亘
<U8661> \xBE\xDB |1 # 虡->聚
<U7C34> \xBE\xDB |1 # 簴->聚
<U4E63> \xBE\xC0 |1 # 乣->纠
<U7CFE> \xBE\xC0 |1 # 糾->纠
<U7CFA> \xBE\xC0 |1 # 糺->纠
<U9CE3> \xF7\xAD |1 # 鳣->鳝
<U9C63> \xF7\xAD |1 # 鱣->鳝
<U9C54> \xF7\xAD |1 # 鱔->鳝
<U60DB> \xBB\xE8 |1 # 惛->昏
<U60FD> \xBB\xE8 |1 # 惽->昏
<U5C43> \xCF\xB5 |1 # 屃->系
<U5C6D> \xCF\xB5 |1 # 屭->系
<U5C53> \xCF\xB5 |1 # 屓->系
<U60D4> \xCC\xB8 |1 # 惔->谈
<U5DC7> \xCF\xB6 |1 # 巇->隙
<U6FC5> \xBD\xFE |1 # 濅->浸
<U5586> \xD5\xDC |1 # 喆->哲
<U95B4> \xEA\xEF |1 # 閴->觑
<U9612> \xEA\xEF |1 # 阒->觑
<U95C3> \xEA\xEF |1 # 闃->觑
<U9079> \xD3\xF6 |1 # 遹->遇
<U84C7> \xB9\xC7 |1 # 蓇->骨
<U8F5C> \xB6\xFB |1 # 轜->尔
<U9A46> \xF5\xCF |1 # 驆->跸
<U8E55> \xF5\xCF |1 # 蹕->跸
<U74BF> \xE8\xAF |1 # 璿->璇
<U7C18> \xF3\xEF |1 # 簘->箫
<U53C7> \xB4\xFE |1 # 叇->逮
<U9746> \xB4\xFE |1 # 靆->逮
<U6ACB> \xEB\xEF |1 # 櫋->腼
<U7B8E> \xB3\xD6 |1 # 箎->持
<U7AFE> \xB3\xD6 |1 # 竾->持
<U6E70> \xC2\xA1 |1 # 湰->隆
<U683B> \xCA\xBD |1 # 栻->式
<U6618> \xB7\xC2 |1 # 昘->仿
<U6609> \xB7\xC2 |1 # 昉->仿
<U6958> \xC4\xBB |1 # 楘->幕
<U52F7> \xCF\xE5 |1 # 勷->襄
<U5D42> \xC2\xC9 |1 # 嵂->律
<U5770> \xBE\xBC |1 # 坰->炯
<U518B> \xBE\xBC |1 # 冋->炯
<U6DAC> \xD0\xD2 |1 # 涬->幸
<U8728> \xB5\xFB |1 # 蜨->蝶
<U81A1> \xD3\xB1 |1 # 膡->颖
<U582E> \xB6\xF5 |1 # 堮->鄂
<U587F> \xC2\xA6 |1 # 塿->娄
<U5CA7> \xCC\xF6 |1 # 岧->迢
<U5A4B> \xE8\xC9 |1 # 婋->枭
<U7BFD> \xD3\xF9 |1 # 篽->御
<U917A> \xC6\xCE |1 # 酺->莆
<U7DFE> \xB2\xF8 |1 # 緾->缠
<U7A0F> \xD1\xC7 |1 # 稏->亚
<U6A5E> \xBB\xDD |1 # 橞->惠
<U72DD> \xCF\xCC |1 # 狝->咸
<U736E> \xCF\xCC |1 # 獮->咸
<U6906> \xB3\xED |1 # 椆->稠
<U54B9> \xB0\xB2 |1 # 咹->安
<U5041> \xB3\xC6 |1 # 偁->称
<U9E86> \xB4\xD6 |1 # 麆->粗
<U5BAC> \xB3\xC9 |1 # 宬->成
<U7744> \xC9\xD2 |1 # 睄->梢
<U59F8> \xE5\xFB |1 # 姸->妍
<U566E> \xD4\xB5 |1 # 噮->缘
<U7FFA> \xB0\xBF |1 # 翺->翱
<U91EC> \xBA\xB8 |1 # 釬->焊
<U92B2> \xBA\xB8 |1 # 銲->焊
<U92E5> \xD7\xDB |1 # 鋥->综
<U7D9C> \xD7\xDB |1 # 綜->综
<U830D> \xB9\xB6 |1 # 茍->苟
<U93EE> \xEE\xD6 |1 # 鏮->钪
<U9227> \xEE\xD6 |1 # 鈧->钪
<U6B14> \xDB\xC7 |1 # 欔->矍
<U6B0B> \xDB\xC7 |1 # 欋->矍
<U7553> \xCC\xEF |1 # 畓->田
<U81D2> \xCE\xD5 |1 # 臒->握
<U7146> \xB6\xCD |1 # 煆->锻
<U6113> \xCC\xE8 |1 # 愓->惕
<U96A2> \xC8\xC4 |1 # 隢->饶
<U819E> \xB0\xF2 |1 # 膞->膀
<U5425> \xB2\xBC |1 # 吥->布
<U551D> \xB9\xB1 |1 # 唝->贡
<U510C> \xBD\xC4 |1 # 儌->侥
<U50E5> \xBD\xC4 |1 # 僥->侥
<U8802> \xB5\xFB |1 # 蠂->蝶
<U81DE> \xF6\xC4 |1 # 臞->瞿
<U766F> \xF6\xC4 |1 # 癯->瞿
<U7D6F> \xB8\xC3 |1 # 絯->该
<U5A94> \xEB\xEF |1 # 媔->腼
<U7E99> \xC2\xDE |1 # 纙->罗
<U8914> \xB8\xA3 |1 # 褔->福
<U6365> \xCD\xF3 |1 # 捥->腕
<U8AEF> \xB6\xCB |1 # 諯->端
<U8B6A> \xB0\xAA |1 # 譪->蔼
<U8381> \xF3\xDF |1 # 莁->筮
<U566D> \xBD\xD0 |1 # 噭->叫
<U8E88> \xC7\xCF |1 # 躈->窍
<U9783> \xBA\xEB |1 # 鞃->弘
<U65B2> \xED\xBD |1 # 斲->斫
<U9947> \xE2\xC0 |1 # 饇->饫
<U98EB> \xE2\xC0 |1 # 飫->饫
<U55A3> \xEC\xE3 |1 # 喣->煦
<U6DC2> \xB5\xC3 |1 # 淂->得
<U633C> \xC5\xB2 |1 # 挼->挪
<U6F98> \xC9\xC7 |1 # 澘->汕
<U6F78> \xC9\xC7 |1 # 潸->汕
<U8540> \xBC\xAC |1 # 蕀->棘
<U8AFF> \xD0\xED |1 # 諿->许
<U8149> \xC4\xCC |1 # 腉->奶
<U77D9> \xEE\xAB |1 # 矙->瞰
<U7314> \xD7\xDD |1 # 猔->纵
<U8C75> \xD7\xDD |1 # 豵->纵
<U77EA> \xD6\xDB |1 # 矪->舟
<U5B2C> \xF1\xE0 |1 # 嬬->襦
<U7F5D> \xD6\xC3 |1 # 罝->置
<U51CA> \xC7\xE5 |1 # 凊->清
<U827C> \xF4\xFA |1 # 艼->酊
<U839A> \xD1\xD3 |1 # 莚->延
<U7327> \xBB\xF6 |1 # 猧->祸
<U66AA> \xC2\xF7 |1 # 暪->瞒
<U5505> \xBA\xAC |1 # 唅->含
<U9DEC> \xBB\xC6 |1 # 鷬->黄
<U6651> \xCF\xEC |1 # 晑->响
<U673E> \xB3\xC9 |1 # 朾->成
<U57FE> \xBC\xE1 |1 # 埾->坚
<U7E42> \xC2\xCA |1 # 繂->率
<U8E46> \xCD\xC8 |1 # 蹆->腿
<U59B5> \xCD\xB6 |1 # 妵->投
<U60A2> \xF5\xD4 |1 # 悢->踉
<U8670> \xB6\xA3 |1 # 虰->叮
<U51D3> \xC0\xF5 |1 # 凓->栗
<U9719> \xD3\xA2 |1 # 霙->英
<U5E9D> \xCC\xDB |1 # 庝->疼
<U78DE> \xC5\xF6 |1 # 磞->碰
<U6BBE> \xD6\xFE |1 # 殾->筑
<U674D> \xE8\xF7 |1 # 杍->梓
<U93D5> \xC2\xB9 |1 # 鏕->鹿
<U9245> \xEE\xD2 |1 # 鉅->钜
<U6FC4> \xCE\xD0 |1 # 濄->涡
<U6E26> \xCE\xD0 |1 # 渦->涡
<U6F9F> \xC1\xDD |1 # 澟->凛
<U7928> \xC0\xDE |1 # 礨->擂
<U7927> \xC0\xDE |1 # 礧->擂
<U69F8> \xD2\xB7 |1 # 槸->曳
<U645B> \xB3\xD6 |1 # 摛->持
<U6521> \xB3\xD6 |1 # 攡->持
<U9595> \xB1\xD5 |1 # 閕->闭
<U6871> \xBE\xB6 |1 # 桱->径
<U67FA> \xB9\xD5 |1 # 柺->拐
<U67B4> \xB9\xD5 |1 # 枴->拐
<U6526> \xC0\xE7 |1 # 攦->犁
<U6CC2> \xB6\xB4 |1 # 泂->洞
<U5C0C> \xCA\xF7 |1 # 尌->树
<U7D9D> \xC1\xD5 |1 # 綝->琳
<U5526> \xB0\xA1 |1 # 唦->啊
<U7B82> \xC0\xB4 |1 # 箂->来
<U8898> \xD2\xC2 |1 # 袘->衣
<U886A> \xCB\xFB |1 # 衪->他
<U8E04> \xB2\xBD |1 # 踄->步
<U567F> \xD7\xEC |1 # 噿->嘴
<U6300> \xC5\xC9 |1 # 挀->派
<U83A4> \xCB\xD6 |1 # 莤->酥
<U7C8D> \xBA\xC4 |1 # 粍->耗
<U6A63> \xC4\xFB |1 # 橣->柠
<U6AB8> \xC4\xFB |1 # 檸->柠
<U5193> \xF3\xF4 |1 # 冓->篝
<U69CB> \xB9\xB9 |1 # 構->构
<U6039> \xCB\xFB |1 # 怹->他
<U5AC0> \xC7\xD8 |1 # 嫀->秦
<U59FA> \xC9\xFA |1 # 姺->生
<U57D7> \xB2\xBA |1 # 埗->埠
<U8636> \xCE\xA1 |1 # 蘶->巍
<U542A> \xC5\xB6 |1 # 吪->哦
<U668F> \xB6\xC3 |1 # 暏->睹
<U50A1> \xCE\xBB |1 # 傡->位
<U59B4> \xD4\xB6 |1 # 妴->远
<U9DB3> \xCA\xA8 |1 # 鶳->狮
<U5491> \xB4\xF2 |1 # 咑->打
<U5673> \xD3\xDD |1 # 噳->虞
<U84EA> \xCD\xA8 |1 # 蓪->通
<U5648> \xF5\xBE |1 # 噈->蹙
<U569C> \xC2\xEF |1 # 嚜->嘛
<U8399> \xBE\xFD |1 # 莙->君
<U85B3> \xD4\xB6 |1 # 薳->远
<U6DF8> \xC7\xE5 |1 # 淸->清
<U96EB> \xC4\xC9 |1 # 雫->纳
<U523C> \xBD\xD9 |1 # 刼->劫
<U7698> \xD9\xBB |1 # 皘->倩
<U9E85> \xE1\xF3 |1 # 麅->狍
<U99D7> \xD5\xF0 |1 # 駗->震
<U89A5> \xCC\xF3 |1 # 覥->腆
<U97FE> \xDC\xB0 |1 # 韾->馨
<U90E3> \xB2\xB3 |1 # 郣->渤
<U95A6> \xDB\xBB |1 # 閦->刍
<U7429> \xB2\xFD |1 # 琩->昌
<U83EE> \xB8\xFD |1 # 菮->庚
<U8C60> \xD9\xDE |1 # 豠->俎
<U8115> \xCD\xF3 |1 # 脕->腕
<U8935> \xE7\xCA |1 # 褵->缡
<U5A0A> \xCF\xD6 |1 # 娊->现
<U926B> \xEF\xD8 |1 # 鉫->镓
<U54C3> \xCD\xAC |1 # 哃->同
<U8A3F> \xEA\xDF |1 # 訿->赀
<U8A3E> \xEA\xDF |1 # 訾->赀
<U504B> \xC6\xC1 |1 # 偋->屏
<U868E> \xD4\xBB |1 # 蚎->曰
<U96F5> \xD1\xEB |1 # 雵->央
<U8039> \xDC\xCB |1 # 耹->芩
<U7681> \xD4\xED |1 # 皁->皂
<U9B4C> \xEC\xF7 |1 # 魌->祺
<U67C6> \xC0\xAD |1 # 柆->拉
<U92A2> \xC6\xA5 |1 # 銢->匹
<U93FE> \xEE\xCC |1 # 鏾->钐
<U8969> \xB6\xBF |1 # 襩->犊
<U8961> \xF1\xE0 |1 # 襡->襦
<U864C> \xDE\xA7 |1 # 虌->蕨
<U90DE> \xC0\xC9 |1 # 郞->郎
<U57D1> \xD5\xDC |1 # 埑->哲
<U61DD> \xC4\xE2 |1 # 懝->拟
<U5117> \xC4\xE2 |1 # 儗->拟
<U6130> \xBB\xCE |1 # 愰->晃
<U7F5E> \xC3\xAC |1 # 罞->矛
<U588E> \xB9\xF9 |1 # 墎->郭
<U625D> \xD4\xA6 |1 # 扝->驭
<U7179> \xF3\xF4 |1 # 煹->篝
<U61E4> \xB3\xEE |1 # 懤->愁
<U774C> \xCD\xED |1 # 睌->晚
